nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
ZywOo,Mathieu Herbaut,France,Vitality,20835.0,41.4,15086.0,1.38,88.8,3.6,934.0,24502.0,0.85,0.13,0.62,0.1,0.12,1.33
s1mple,Aleksandr Kostyliev,Ukraine,Natus Vincere,33651.0,41.4,25119.0,1.34,86.5,2.3,1491.0,39335.0,0.86,0.1,0.64,0.08,0.11,1.25
sh1ro,Dmitry Sokolov,Russia,Gambit,16446.0,27.8,11428.0,1.44,78.6,3.9,805.0,21386.0,0.77,0.11,0.53,0.08,0.11,1.26
Kaze,Andrew Khong,Malaysia,ViCi,16410.0,30.3,12451.0,1.32,80.5,2.9,801.0,20911.0,0.78,0.11,0.6,0.08,0.1,1.19
sterling,Euan Moore,New Zealand,LookingForOrg,15886.0,31.5,11898.0,1.34,79.1,4.0,788.0,20203.0,0.79,0.1,0.59,0.08,0.11,1.22
degster,Abdul Gasanov,Russia,Spirit,12827.0,34.7,9875.0,1.3,79.4,3.0,613.0,16307.0,0.79,0.09,0.61,0.07,0.1,1.21
smooya,Owen Butterfield,United Kingdom,fnatic,16169.0,27.5,12772.0,1.27,79.2,2.4,779.0,20571.0,0.79,0.1,0.62,0.08,0.1,1.2
torzsi,Ádám Torzsás,Hungary,MOUZ,8006.0,29.4,6367.0,1.26,79.4,2.5,380.0,10165.0,0.79,0.1,0.63,0.09,0.11,1.19
XANTARES,Ismailcan Dörtkardeş,Turkey,Eternal Fire,35003.0,53.4,29252.0,1.2,88.9,4.3,1639.0,43090.0,0.81,0.15,0.68,0.1,0.1,1.17
SENSEi,Dmitriy Shvorak,Ukraine,Run or Die,7859.0,31.5,5913.0,1.33,75.6,2.5,398.0,10538.0,0.75,0.08,0.56,0.07,0.09,1.2
device,Nicolai Reedtz,Denmark,NIP,36293.0,35.0,29085.0,1.25,80.3,4.3,1793.0,46666.0,0.78,0.13,0.62,0.07,0.08,1.16
coldzera,Marcelo David,Brazil,00Nation,27380.0,49.4,21748.0,1.26,79.6,2.4,1358.0,35408.0,0.77,0.11,0.61,0.08,0.1,1.16
BnTeT,Hansel Ferdinand,Indonesia,EXTREMUM,19744.0,39.8,15976.0,1.24,83.4,5.1,984.0,25640.0,0.77,0.15,0.62,0.1,0.12,1.16
NiKo,Nikola Kovač,Bosnia and Herzegovina,G2,32825.0,50.5,27553.0,1.19,85.8,4.2,1552.0,41181.0,0.8,0.13,0.67,0.08,0.1,1.16
XigN,Hyun-Pyo Lee,Korea,NKT,13621.0,52.4,11268.0,1.21,83.0,2.7,669.0,17299.0,0.79,0.12,0.65,0.09,0.1,1.15
Sico,Simon Williams,New Zealand,Renegades,16415.0,34.9,12743.0,1.29,79.4,7.0,857.0,21744.0,0.75,0.14,0.59,0.09,0.1,1.15
KSCERATO,Kaike Cerato,Brazil,FURIA,16244.0,50.0,12686.0,1.28,79.4,5.3,843.0,21920.0,0.74,0.13,0.58,0.08,0.1,1.19
